,num_reviews,orig_price,been_sale,rating_val,num_tags,num_genres,year_released
148,1798,29.99,0,9.0,15.0,3.0,2019.0
149,21997,39.99,0,8.0,20.0,3.0,2020.0
151,8084,15.99,0,9.0,13.0,4.0,2021.0
152,37348,19.99,0,9.0,20.0,4.0,2021.0
154,8415,29.99,0,9.0,20.0,3.0,2020.0
157,243237,9.99,0,9.0,20.0,2.0,2011.0
159,252766,14.99,0,9.0,20.0,4.0,2016.0
160,2923,39.99,1,8.0,12.0,1.0,2017.0
161,1207,14.99,1,8.0,20.0,7.0,2021.0
162,19658,39.99,1,8.0,20.0,3.0,2020.0
163,2525,11.99,0,9.0,20.0,3.0,2020.0
164,36553,11.99,0,8.0,20.0,7.0,2020.0
165,54730,29.99,0,9.0,20.0,2.0,2020.0
166,10070,29.99,0,9.0,20.0,3.0,2021.0
169,25498,59.99,0,3.0,20.0,3.0,2020.0
170,1807,16.99,1,8.0,19.0,3.0,2020.0
171,3713,24.99,1,8.0,20.0,3.0,2020.0
172,554,5.99,0,8.0,20.0,3.0,2021.0
173,64602,39.99,0,7.0,20.0,7.0,2018.0
174,5548,59.99,0,8.0,20.0,3.0,2021.0
176,28896,39.99,0,8.0,20.0,5.0,2020.0
177,6673,19.99,1,8.0,15.0,3.0,2019.0
178,12746,8.99,0,8.0,20.0,0.0,2017.0
180,2421,19.99,0,8.0,14.0,4.0,2019.0
181,13768,39.99,0,8.0,14.0,2.0,2020.0
182,35624,59.99,0,8.0,20.0,1.0,2012.0
183,40480,44.99,0,8.0,20.0,3.0,2019.0
184,71432,4.99,0,8.0,20.0,4.0,2017.0
186,43662,19.99,0,9.0,20.0,1.0,2020.0
187,6891,9.99,0,8.0,20.0,2.0,2020.0
191,1608,24.99,1,8.0,14.0,3.0,2019.0
192,33495,19.99,1,8.0,20.0,6.0,2008.0
194,20101,49.99,0,8.0,20.0,2.0,2018.0
195,36085,9.99,0,9.0,20.0,4.0,2019.0
196,3352,39.99,0,8.0,20.0,5.0,2020.0
197,3899,24.99,0,8.0,20.0,5.0,2019.0
198,16389,14.99,0,8.0,20.0,4.0,2021.0
199,146471,14.99,0,9.0,20.0,4.0,2017.0
201,28259,24.99,0,8.0,20.0,5.0,2018.0
203,57636,14.99,0,7.0,20.0,1.0,2017.0
204,1077,19.99,1,7.0,17.0,3.0,2020.0
205,92596,59.99,0,7.0,20.0,7.0,2018.0
206,162,24.99,1,8.0,20.0,2.0,2021.0
207,1271,34.99,1,9.0,20.0,3.0,2020.0
209,713,19.99,1,7.0,20.0,5.0,2021.0
210,17450,19.99,0,9.0,20.0,5.0,2020.0
211,10443,19.99,0,9.0,18.0,0.0,2016.0
212,126390,39.99,0,8.0,20.0,3.0,2016.0
213,66162,29.99,0,8.0,20.0,4.0,2018.0
214,6455,24.99,1,7.0,20.0,0.0,2016.0
216,87,14.99,1,8.0,20.0,2.0,2021.0
217,32670,24.99,0,8.0,20.0,4.0,2019.0
218,5994,59.99,0,7.0,20.0,0.0,2018.0
219,31048,19.99,1,5.0,20.0,2.0,2016.0
220,68738,29.99,0,7.0,20.0,0.0,2015.0
221,46791,59.99,0,7.0,20.0,8.0,2016.0
222,271,39.99,0,5.0,20.0,7.0,2021.0
224,30302,19.99,0,9.0,20.0,5.0,2020.0
225,72555,19.99,0,9.0,20.0,2.0,2017.0
226,5200,39.99,0,8.0,20.0,0.0,2020.0
228,1956,24.99,0,8.0,20.0,3.0,2021.0
229,12642,39.99,0,8.0,20.0,4.0,2020.0
230,43561,19.99,0,8.0,20.0,0.0,2014.0
231,5658,24.99,0,8.0,18.0,0.0,2017.0
232,19604,39.99,0,7.0,20.0,0.0,2020.0
233,43602,19.99,0,8.0,20.0,2.0,2018.0
234,25392,49.99,0,5.0,20.0,2.0,2020.0
235,6677,39.99,0,8.0,20.0,0.0,2016.0
236,25734,59.99,1,8.0,16.0,6.0,2020.0
238,44413,4.99,0,9.0,20.0,2.0,2016.0
239,22623,19.99,0,8.0,20.0,3.0,2020.0
242,500239,9.99,0,8.0,20.0,0.0,2013.0
243,21733,14.99,0,9.0,20.0,3.0,2020.0
244,100912,39.99,0,8.0,20.0,3.0,2016.0
245,156192,29.99,0,8.0,20.0,3.0,2015.0
247,9386,59.99,0,9.0,20.0,4.0,2020.0
249,144760,19.99,0,9.0,20.0,2.0,2016.0
251,69002,19.99,0,8.0,20.0,5.0,2016.0
252,35459,39.99,0,8.0,20.0,3.0,2019.0
253,11442,24.99,0,8.0,20.0,5.0,2020.0
255,21259,4.99,1,8.0,20.0,5.0,2019.0
256,7073,29.99,0,8.0,20.0,3.0,2018.0
257,45923,39.99,0,7.0,20.0,2.0,2020.0
258,35202,19.99,0,8.0,20.0,1.0,2008.0
