,title,num_reviews,release_date,orig_price,been_sale,review_rating,rating_val,num_languages,tags,num_tags,genres,num_genres,publisher,year_released,languages_filled,top_pubs,BANDAI NAMCO Entertainment,Bethesda Softworks,Devolver Digital,Disney,Electronic Arts,Kagura Games,Nightdive Studios,Paradox Interactive,SEGA,Square Enix,THQ Nordic,Ubisoft,Xbox Game Studios,other,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Multiplayer_tag,Strategy_tag,RPG_tag,Casual_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Funny_tag,Coop_tag,Fantasy_tag,Early_tag,Access_tag,Platformer_tag,Local_tag,Singleplayer_genre,Indie_genre,Action_genre,Adventure_genre,Multiplayer_genre,Strategy_genre,RPG_genre,Casual_genre,Simulation_genre,Atmospheric_genre,Horror_genre,2D_genre,Soundtrack_genre,Great_genre,Story_genre,Rich_genre,World_genre,Shooter_genre,Puzzle_genre,TurnBased_genre,Open_genre,FirstPerson_genre,Survival_genre,Funny_genre,Coop_genre,Fantasy_genre,Early_genre,Access_genre,Platformer_genre,Local_genre
10,ASTRONEER,74220,2019-02-06,29.99,1,Very Positive,8.0,13.0,"['Open World Survival Craft', 'Open World', 'Multiplayer', 'Space', 'Survival', 'Exploration', 'Sandbox', 'Base Building', 'Co-op', 'Adventure', 'Building', 'Crafting', 'Sci-fi', 'Simulation', 'Third Person', 'Colorful', 'Singleplayer', 'Automation', 'Atmospheric', 'Indie']",20.0,"['Adventure', 'Indie']",2.0,System Era Softworks,2019,13.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Hunt: Showdown,87734,2019-08-27,39.99,0,Very Positive,8.0,11.0,"['Multiplayer', 'Hunting', 'Online Co-Op', 'Horror', 'Shooter', 'FPS', 'Survival', 'PvP', 'Western', 'Survival Horror', 'Zombies', 'Action', 'Open World', 'Perma Death', 'Team-Based', 'First-Person', 'Gore', 'Violent', 'Battle Royale', 'Co-op']",20.0,['Action'],1.0,Crytek,2019,11.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dead by Daylight,446261,2016-06-14,19.99,1,Very Positive,8.0,17.0,"['Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Survival', 'Stealth', 'Gore', 'Co-op', 'Blood', 'Team-Based', 'Third Person', 'Violent', 'First-Person', 'Action', 'Atmospheric', 'Psychological Horror', 'Strategy', 'Comedy', 'Mature', 'Difficult']",20.0,['Action'],1.0,Behaviour Interactive Inc.,2016,17.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Risk of Rain 2,148259,2020-08-11,24.99,0,Overwhelmingly Positive,9.0,11.0,"['Third-Person Shooter', 'Action Roguelike', 'Multiplayer', 'Action', 'Roguelite', 'Co-op', 'Looter Shooter', 'Roguelike', 'Loot', 'Shooter', 'Online Co-Op', 'Difficult', 'Survival', 'Third Person', 'Indie', 'Singleplayer', 'Soundtrack', 'Early Access', 'Great Soundtrack', 'Bullet Hell']",20.0,"['Action', 'Indie']",2.0,Gearbox Publishing,2020,11.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,First Class Trouble,235,2021-04-08,14.99,1,Very Positive,8.0,12.0,"['Early Access', 'Social Deduction', 'Survival', '3D', 'Party Game', 'Space', 'Multiplayer', 'Third Person', 'Funny', 'Casual', 'Action', 'PvP', 'Sci-fi', 'Assassin', 'Robots', 'Psychological', 'Futuristic', 'Retro', 'Online Co-Op', 'Minigames']",20.0,"['Indie', 'Early Access', 'Invisible Walls']",3.0,Versus Evil,2021,12.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15,Golf With Your Friends,37643,2020-05-19,14.99,0,Very Positive,8.0,9.0,"['Multiplayer', 'Casual', 'Mini Golf', 'Sports', 'Golf', 'Indie', 'Funny', 'Family Friendly', 'Early Access', 'Co-op', 'Singleplayer', 'Simulation', 'Physics', 'Strategy', 'Great Soundtrack', 'Difficult', 'Massively Multiplayer', 'Memes', 'Local Multiplayer', 'Action']",20.0,"['Casual', 'Indie', 'Sports', 'Blacklight Interactive']",4.0,Team17,2020,9.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DARK SOULS™ II: Scholar of the First Sin,60517,2015-04-01,39.99,1,Very Positive,8.0,10.0,"['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action', 'Third Person', 'Atmospheric', 'Action RPG', 'Character Customization', 'Co-op', 'Multiplayer', 'Adventure', 'Fantasy', 'Medieval', 'Dark', 'Singleplayer', 'Lore-Rich', 'Story Rich', 'PvP', 'Remake']",20.0,"['Action', 'RPG', 'FromSoftware, Inc', 'BANDAI NAMCO Entertainment']",4.0,"FromSoftware, Inc",2015,10.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Stardew Valley,346111,2016-02-26,14.99,0,Overwhelmingly Positive,9.0,12.0,"['Farming Sim', 'Life Sim', 'RPG', 'Pixel Graphics', 'Agriculture', 'Simulation', 'Relaxing', 'Multiplayer', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Great Soundtrack', 'Cute', 'Dating Sim', 'Fishing']",20.0,"['Indie', 'RPG', 'Simulation']",3.0,ConcernedApe,2016,12.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,We Happy Few,7953,2018-08-10,59.99,1,Mostly Positive,7.0,9.0,"['Adventure', 'Action', 'Open World', 'Survival', 'Indie', 'Dystopian', 'Psychological Horror', 'First-Person', 'Horror', 'Singleplayer', 'Atmospheric', 'Stealth', 'Exploration', 'Dark', 'Crafting', 'Survival Horror', 'Procedural Generation', 'Early Access', 'Mature', 'Roguelike']",20.0,"['Action', 'Adventure', 'Indie']",3.0,Gearbox Publishing,2018,9.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Cyberpunk 2077,407256,2020-12-09,59.99,0,Mostly Positive,7.0,18.0,"['Cyberpunk', 'Open World', 'RPG', 'Sci-fi', 'Futuristic', 'Singleplayer', 'FPS', 'First-Person', 'Atmospheric', 'Exploration', 'Nudity', 'Story Rich', 'Mature', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Immersive Sim', 'Character Customization']",20.0,['RPG'],1.0,CD PROJEKT RED,2020,18.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Red Dead Redemption 2,174885,2019-12-05,59.99,0,Very Positive,8.0,13.0,"['Adventure', 'Open World', 'Story Rich', 'Western', 'Action', 'Multiplayer', 'Shooter', 'Realistic', 'Third-Person Shooter', 'Singleplayer', 'Atmospheric', 'Horses', 'Beautiful', 'Great Soundtrack', 'Sandbox', 'Third Person', 'Mature', 'First-Person', 'Gore', 'FPS']",20.0,"['Action', 'Adventure', 'Rockstar Games']",3.0,Rockstar Games,2019,13.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
